car_id;carro;location_id;cidade;unidade
1;Cronos;1;São Paulo;Unidade São Paulo – Avenida Paulista
1;Cronos;2;Brasília;Matrix Brasília – Setor Hoteleiro Norte
1;Cronos;3;Rio de Janeiro;Unidade Rio de Janeiro – Copacabana Drive
1;Cronos;4;Fortaleza;Racha Fortaleza – Beira Mar
1;Cronos;5;Curitiba;Frost Drive – Curitiba Center
1;Cronos;6;Belo Horizonte;DeLorean BH – Savassi Station
1;Cronos;7;Rio Branco;Loucadora Acre – Rua Epaminondas Jácome
1;Cronos;8;Guarulhos;Toretto Guarulhos – Aeroporto Internacional
1;Cronos;9;Porto Alegre;Gotham Porto Alegre – Moinhos de Vento
1;Cronos;10;Manaus;Loucadora Manaus – Ponta Negra
2;Mobi;1;São Paulo;Unidade São Paulo – Avenida Paulista
2;Mobi;2;Brasília;Matrix Brasília – Setor Hoteleiro Norte
2;Mobi;3;Rio de Janeiro;Unidade Rio de Janeiro – Copacabana Drive
2;Mobi;4;Fortaleza;Racha Fortaleza – Beira Mar
2;Mobi;5;Curitiba;Frost Drive – Curitiba Center
2;Mobi;6;Belo Horizonte;DeLorean BH – Savassi Station
2;Mobi;7;Rio Branco;Loucadora Acre – Rua Epaminondas Jácome
2;Mobi;8;Guarulhos;Toretto Guarulhos – Aeroporto Internacional
2;Mobi;9;Porto Alegre;Gotham Porto Alegre – Moinhos de Vento
2;Mobi;10;Manaus;Loucadora Manaus – Ponta Negra
3;Spin;1;São Paulo;Unidade São Paulo – Avenida Paulista
3;Spin;2;Brasília;Matrix Brasília – Setor Hoteleiro Norte
3;Spin;3;Rio de Janeiro;Unidade Rio de Janeiro – Copacabana Drive
3;Spin;4;Fortaleza;Racha Fortaleza – Beira Mar
3;Spin;5;Curitiba;Frost Drive – Curitiba Center
3;Spin;6;Belo Horizonte;DeLorean BH – Savassi Station
3;Spin;7;Rio Branco;Loucadora Acre – Rua Epaminondas Jácome
3;Spin;8;Guarulhos;Toretto Guarulhos – Aeroporto Internacional
3;Spin;9;Porto Alegre;Gotham Porto Alegre – Moinhos de Vento
3;Spin;10;Manaus;Loucadora Manaus – Ponta Negra
